Benchmark, Numparts, Cutsize
sparcT1_core,2,977
sparcT1_core,3,1889
sparcT1_core,4,2492
neuron,2,244
neuron,3,396
neuron,4,431
stereo_vision,2,169
stereo_vision,3,336
stereo_vision,4,475
des90,2,374
des90,3,535
des90,4,747
SLAM_spheric,2,1061
SLAM_spheric,3,2720
SLAM_spheric,4,3241
cholesky_mc,2,282
cholesky_mc,3,864
cholesky_mc,4,984
segmentation,2,120
segmentation,3,453
segmentation,4,490
bitonic_mesh,2,584
bitonic_mesh,3,895
bitonic_mesh,4,1311
dart,2,805
dart,3,1243
dart,4,1401
openCV,2,434
openCV,3,525
openCV,4,522
stap_qrd,2,464
stap_qrd,3,497
stap_qrd,4,674
minres,2,207
minres,3,309
minres,4,407
cholesky_bdti,2,1156
cholesky_bdti,3,1701
cholesky_bdti,4,1865
denoise,2,418
denoise,3,915
denoise,4,1001
sparcT2_core,2,1188
sparcT2_core,3,2249
sparcT2_core,4,3558
gsm_switch,2,1833
gsm_switch,3,3694
gsm_switch,4,4404
mes_noc,2,633
mes_noc,3,1125
mes_noc,4,1346
LU230,2,3363
LU230,3,4548
LU230,4,6310
LU_Network,2,524
LU_Network,3,882
LU_Network,4,1417
sparcT1_chip2,2,876
sparcT1_chip2,3,1404
sparcT1_chip2,4,1601
directrf,2,515
directrf,3,762
directrf,4,1092
bitcoin_miner,2,1562
bitcoin_miner,3,1917
bitcoin_miner,4,2737
